,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Jonas Blue,Mama - Acoustic,0.564,0.364,10,-5.845,0,0.0631,0.759,0,0.0839,0.591,86.538,audio_features,3VOtM6x5KXZuxSzHaaf9oO,spotify:track:3VOtM6x5KXZuxSzHaaf9oO,https://api.spotify.com/v1/tracks/3VOtM6x5KXZuxSzHaaf9oO,https://api.spotify.com/v1/audio-analysis/3VOtM6x5KXZuxSzHaaf9oO,192277,4
1,Jooyoung,Same as you,0.701,0.519,1,-6.382,1,0.0516,0.314,0,0.207,0.498,89.977,audio_features,0wpskpgrWHEDWjPgkddspN,spotify:track:0wpskpgrWHEDWjPgkddspN,https://api.spotify.com/v1/tracks/0wpskpgrWHEDWjPgkddspN,https://api.spotify.com/v1/audio-analysis/0wpskpgrWHEDWjPgkddspN,223044,4
2,Nightwish,The Poet And The Pendulum,0.309,0.74,7,-5.917,0,0.0456,0.00854,0.0258,0.119,0.166,144.861,audio_features,2XD4JzbZWRuRKzzCi5Cocm,spotify:track:2XD4JzbZWRuRKzzCi5Cocm,https://api.spotify.com/v1/tracks/2XD4JzbZWRuRKzzCi5Cocm,https://api.spotify.com/v1/audio-analysis/2XD4JzbZWRuRKzzCi5Cocm,834720,4
3,Ed Sheeran,Afire Love,0.552,0.637,5,-6.568,1,0.0445,0.464,1.63e-05,0.136,0.333,97.97,audio_features,12B0Twa9kRz45Xw2PgXHJm,spotify:track:12B0Twa9kRz45Xw2PgXHJm,https://api.spotify.com/v1/tracks/12B0Twa9kRz45Xw2PgXHJm,https://api.spotify.com/v1/audio-analysis/12B0Twa9kRz45Xw2PgXHJm,314280,4
4,Linkin Park,Given Up,0.655,0.885,7,-4.116,1,0.0438,0.00117,0.000473,0.0448,0.938,100.088,audio_features,1fLlRApgzxWweF1JTf8yM5,spotify:track:1fLlRApgzxWweF1JTf8yM5,https://api.spotify.com/v1/tracks/1fLlRApgzxWweF1JTf8yM5,https://api.spotify.com/v1/audio-analysis/1fLlRApgzxWweF1JTf8yM5,189293,4
5,He Is We,All About Us,0.564,0.534,4,-6.05,1,0.0238,0.28,0,0.121,0.409,85.964,audio_features,2185NMvk68x92ygV1iP89F,spotify:track:2185NMvk68x92ygV1iP89F,https://api.spotify.com/v1/tracks/2185NMvk68x92ygV1iP89F,https://api.spotify.com/v1/audio-analysis/2185NMvk68x92ygV1iP89F,206533,4
6,Ed Sheeran,Take It Back,0.754,0.613,5,-6.342,1,0.229,0.318,0,0.335,0.904,113.196,audio_features,2dmOWlEHrP266Qgz6wnUrd,spotify:track:2dmOWlEHrP266Qgz6wnUrd,https://api.spotify.com/v1/tracks/2dmOWlEHrP266Qgz6wnUrd,https://api.spotify.com/v1/audio-analysis/2dmOWlEHrP266Qgz6wnUrd,208400,4
7,Defqwop,Heart Afire,0.414,0.708,0,-4.181,0,0.0912,0.0316,0,0.0623,0.392,199.9,audio_features,0JQjr0kpluPAuskMPHjqh3,spotify:track:0JQjr0kpluPAuskMPHjqh3,https://api.spotify.com/v1/tracks/0JQjr0kpluPAuskMPHjqh3,https://api.spotify.com/v1/audio-analysis/0JQjr0kpluPAuskMPHjqh3,240039,4
8,SEVENTEEN,Mansae,0.749,0.955,7,-1.767,1,0.0867,0.0547,0,0.112,0.761,111.96,audio_features,5rIsrawNyPv1q8v11iwJsh,spotify:track:5rIsrawNyPv1q8v11iwJsh,https://api.spotify.com/v1/tracks/5rIsrawNyPv1q8v11iwJsh,https://api.spotify.com/v1/audio-analysis/5rIsrawNyPv1q8v11iwJsh,186875,4
9,Nightwish,End Of All Hope,0.477,0.946,5,-6.734,1,0.0423,6.14e-05,0.0271,0.333,0.563,79.948,audio_features,3vm2YWzVKrIaWXZcmEIFdP,spotify:track:3vm2YWzVKrIaWXZcmEIFdP,https://api.spotify.com/v1/tracks/3vm2YWzVKrIaWXZcmEIFdP,https://api.spotify.com/v1/audio-analysis/3vm2YWzVKrIaWXZcmEIFdP,233800,4
10,Within Temptation,Angels,0.493,0.865,7,-4.71,0,0.0357,0.286,0,0.152,0.192,90.979,audio_features,50A75OZiqGkRdF904sRQXg,spotify:track:50A75OZiqGkRdF904sRQXg,https://api.spotify.com/v1/tracks/50A75OZiqGkRdF904sRQXg,https://api.spotify.com/v1/audio-analysis/50A75OZiqGkRdF904sRQXg,242440,4
11,John Mayer,Slow Dancing in a Burning Room,0.667,0.361,1,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,audio_features,2jdAk8ATWIL3dwT47XpRfu,spotify:track:2jdAk8ATWIL3dwT47XpRfu,https://api.spotify.com/v1/tracks/2jdAk8ATWIL3dwT47XpRfu,https://api.spotify.com/v1/audio-analysis/2jdAk8ATWIL3dwT47XpRfu,242000,5
